Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus genome assembly, segment: 1",4211,4211,100%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283927.1?report=genbank&log$=nucltop&blast_rank=1&RID=CWBU34UK016"",""OY283927.1"")"
"Influenza A virus (A/Ohio/50/2022(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4211,4211,100%,0.0,100.00,2299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ662812.1?report=genbank&log$=nucltop&blast_rank=2&RID=CWBU34UK016"",""OQ662812.1"")"
"Influenza A virus genome assembly, segment: 1",4211,4211,100%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419461.1?report=genbank&log$=nucltop&blast_rank=3&RID=CWBU34UK016"",""OX419461.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13520/2022(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4211,4211,100%,0.0,100.00,2280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ240681.1?report=genbank&log$=nucltop&blast_rank=4&RID=CWBU34UK016"",""OQ240681.1"")"
"Influenza A virus (A/Georgia/29/2022(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4211,4211,100%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ233126.1?report=genbank&log$=nucltop&blast_rank=5&RID=CWBU34UK016"",""OQ233126.1"")"
"Influenza A virus genome assembly, segment: 1",4211,4211,100%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX381560.1?report=genbank&log$=nucltop&blast_rank=6&RID=CWBU34UK016"",""OX381560.1"")"
"Influenza A virus (A/Wisconsin/32/2023(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4205,4205,100%,0.0,99.96,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR202138.1?report=genbank&log$=nucltop&blast_rank=7&RID=CWBU34UK016"",""OR202138.1"")"
"Influenza A virus (A/Wisconsin/32/2023(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4205,4205,100%,0.0,99.96,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR202130.1?report=genbank&log$=nucltop&blast_rank=8&RID=CWBU34UK016"",""OR202130.1"")"
"Influenza A virus (A/Pennsylvania/40/2023(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4205,4205,100%,0.0,99.96,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201907.1?report=genbank&log$=nucltop&blast_rank=9&RID=CWBU34UK016"",""OR201907.1"")"
"Influenza A virus (A/Pennsylvania/40/2023(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4205,4205,100%,0.0,99.96,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201899.1?report=genbank&log$=nucltop&blast_rank=10&RID=CWBU34UK016"",""OR201899.1"")"
"Influenza A virus (A/Georgia/27/2023(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",4205,4205,100%,0.0,99.96,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201452.1?report=genbank&log$=nucltop&blast_rank=11&RID=CWBU34UK016"",""OR201452.1"")"
